Explanation Tag,Count
Popular among users with similar reading preferences.,889
Because you frequently read Children's Books books.,533
Written by an author similar to books you've rated highly.,208
Highly rated on Amazon (4.5★ from 31k+ readers).,65
Highly rated on Amazon (4.5★ from 1k+ readers).,64
Highly rated on Amazon (4.6★ from 7k+ readers).,57
Highly rated on Amazon (4.8★ from 2k+ readers).,48
Highly rated on Amazon (4.7★ from 88k+ readers).,47
Matches one of your favorite genres.,31
Highly rated on Amazon (4.6★ from 90k+ readers).,16
Highly rated on Amazon (4.6★ from 27k+ readers).,14
Highly rated on Amazon (4.7★ from 18k+ readers).,10
"Because you frequently read Computing, Internet & Digital Media books.",10
Highly rated on Amazon (4.6★ from 1k+ readers).,8
Because you frequently read Exam Preparation books.,8
Because you frequently read Higher Education Textbooks books.,3
Recommended based on your learned reading behavior.,3
Because you frequently read Literature & Fiction books.,2
Highly rated on Amazon (4.6★ from 2k+ readers).,2
Highly rated on Amazon (4.7★ from 17k+ readers).,1
Highly rated on Amazon (4.9★ from 71k+ readers).,1
Similar readers also enjoyed this book.,1
Highly rated on Amazon (4.7★ from 1k+ readers).,1
Highly rated on Amazon (4.5★ from 88k+ readers).,1
Highly rated on Amazon (4.9★ from 1k+ readers).,1
Highly rated on Amazon (4.7★ from 2k+ readers).,1
Highly rated on Amazon (4.6★ from 24k+ readers).,1
